desc,number,voltage,source,srcBreak,srcName,mounting,siteNo,siteName,_predicate,geometry,latlon,lon,lat,size
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,113368,AVONMOUTH 33/11KV S/STN,INTERSECTS,POINT (351745.217 178654.95),"(-2.6966372526272853, 51.50474722153482)",-2.6966372526272853,51.50474722153482,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,113368,AVONMOUTH 33/11KV S/STN,INTERSECTS,POINT (351733.065 178657.726),"(-2.696810543193083, 51.50477316666227)",-2.696810543193083,51.50477316666227,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,113368,AVONMOUTH 33/11KV S/STN,INTERSECTS,POINT (351726.472 178659.209),"(-2.696911663747783, 51.504790548898846)",-2.696911663747783,51.504790548898846,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,118166,LAWRENCE WESTON 33KV SOLAR PARK 33KV/11K,INTERSECTS,POINT (353847.493 178840.043),"(-2.6663788604629812, 51.506595526767875)",-2.6663788604629812,51.506595526767875,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,114260,BROADWEIR PRIMARY 33KV/11KV S/STN,INTERSECTS,POINT (359598.50800000003 173446.404),"(-2.5829027332132353, 51.458539570374086)",-2.5829027332132353,51.458539570374086,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,114260,BROADWEIR PRIMARY 33KV/11KV S/STN,INTERSECTS,POINT (359592.363 173454.07200000001),"(-2.582990004104327, 51.45861106935726)",-2.582990004104327,51.45861106935726,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,530226,ST ARVANS 33KV/11KV S/STN,INTERSECTS,POINT (350686.25 197924.378),"(-2.7146080958716894, 51.677904932476665)",-2.7146080958716894,51.677904932476665,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,118206,Hallen 33kv Battery,INTERSECTS,POINT (354345.542 181188.329),"(-2.6595089793991105, 51.52774657732274)",-2.6595089793991105,51.52774657732274,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,530099,CHEPSTOW 33KV/11KV S/STN,INTERSECTS,POINT (353525.5 193859),"(-2.673010036205645, 51.641600843298484)",-2.673010036205645,51.641600843298484,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,530099,CHEPSTOW 33KV/11KV S/STN,INTERSECTS,POINT (353527.75 193859),"(-2.6729811362419555, 51.64160100898729)",-2.6729811362419555,51.64160100898729,10
